Number of bases in toehold in MFE,Total free site in Toehold,The overall free site in Toehold in MFE,free site of the branch migration region,overall free site,The G/C ratio in the Toehold region,The free energy of the whole strand I,The free energy of MFE,The number of pairs in the branch migration ,The number of bases remaining in the toehold of the entire strand,The number of hydrogen bonds in MFE,Number of free bases in the ring,Number of free bases in the biggest ring,Bonding of intermediates (number of hydrogen bonds),The amount of intermediates,Whether there are other intermediates,Label(0/1/2)
0.9936,10.689,2.9808,27.188,37.877,0.6667,-3.24,-2.27,5.58969,4.1392,5.53254,2.762,2.762,15.1584,0.284,0.0231,1
2.846,9.1502,7.5398,22.2987,31.4489,0.6667,-3.56,-3.27,7.74976,3.4462,11.0934,6.692,4.7077,15.0711,0.0405,0,2
5.8741,12.7123,12.7123,23.5094,36.2217,0.1667,-2.51,-1.97,6.77685,5.8741,7.85753,6.7153,6.7153,11.52707,0.0025,0.00371,2
5.5369,14.8184,14.8184,23.6649,38.4833,0.6667,-2.65,-1.97,6.7839,5.5369,7.0826,6.4144,6.4144,14.396,0.594,0.00289,1
5.9094,14.77,14.77,23.5804,38.3504,0.5,-2.52,-1.97,6.73302,5.9094,7.88198,6.7827,6.7827,11.105,0.0733,0.00331,0
5.9552,12.8903,12.8903,23.3874,36.2777,0.1667,-2.5,-1.97,6.79947,5.9552,8.05316,6.8272,6.8272,9.625824,0.00117,0.00378,2
5.7644,14.3117,14.3117,23.8424,38.1541,0.5,-2.63,-1.97,6.73431,5.7644,7.48742,6.7614,6.7614,12.26947,0.048,0.0291,1
4.5396,12.1094,12.1094,25.2933,37.4027,0.6667,-2.83,-1.97,6.3665,4.5396,6.85935,5.946,5.946,14.3638,0.0748,0.321,1
5.7417,14.2284,14.2284,23.8417,38.0701,0.5,-2.65,-1.97,6.75768,5.7417,7.41337,6.7454,6.7454,13.9791,0.0589,0.0426,1
0.9978,11.5619,1.9956,26.7448,38.3067,0.5,-2.89,-2.14,5.7653,4.7023,3.9077,3.7354,3.7354,13.1393,0.0827,0.00615,1
5.8733,14.6377,14.6377,23.793,38.4307,0.5,-2.54,-1.97,6.68735,5.8733,7.59768,6.6182,6.6182,13.80411,0.0384,0.00312,1
0.9676,10.7226,2.9028,24.5091,35.2317,0.6667,-3.11,-2.09,6.61156,4.1483,8.85984,7.0788,4.1576,14.7494,0.118,0.00614,2
5.6526,13.1422,13.1422,23.7447,36.8869,0.3333,-2.61,-1.97,6.7374,5.6526,7.2448,6.5075,6.5075,12.12789,0.0446,0.00327,2
5.9533,12.898,12.898,23.5179,36.4159,0.1667,-2.5,-1.97,6.75754,5.9533,7.95771,6.8041,6.8041,10.95329,0.0125,0.00327,2
5.1021,12.9082,12.9082,22.9388,35.847,0.5,-2.71,-1.97,6.96659,5.1021,7.07914,6.2372,6.2372,13.4827,0.0604,0.00257,2
5.6219,14.0058,14.0058,23.9712,37.977,0.5,-2.62,-1.97,6.70807,5.6219,7.11406,6.3308,6.3308,13.1601,0.0598,0.00261,1
2.9931,7.32681,6.985,20.8575,28.18431,0.5,-4.44,-3.83,8.01602,3.12189,13.226,5.8873,4.8888,12.80197,0.0317,0.00267,2
5.6907,13.1573,13.1573,24.0504,37.2077,0.3333,-2.56,-1.97,6.58465,5.6907,7.65828,6.7807,6.7807,12.38372,0.0129,0.00459,1
2.9986,7.33712,6.9967,20.8592,28.19632,0.5,-4.43,-3.83,8.01837,3.12675,13.2316,5.8885,4.8901,12.53775,0.0391,0.00268,2
5.1935,13.8137,13.8137,25.4272,39.2409,0.6667,-2.75,-1.97,6.2007,5.1935,6.4566,6.5402,6.5402,14.6106,0.0812,0.0193,0
0.8311,7.4647,1.6622,24.8627,32.3274,0.5,-3.76,-2.59,6.4619,3.2568,9.5612,6.9929,4.2226,12.25592,0.0204,0.0256,2
5.7174,14.174,14.174,23.9306,38.1046,0.5,-2.66,-1.97,6.73461,5.7174,7.33692,6.7175,6.7175,13.4154,0.0806,0.0417,0
5.6728,15.0483,15.0483,24.1981,39.2464,0.6667,-2.67,-1.97,6.64,5.6728,7.1728,6.6789,6.6789,13.957,0.522,0.0404,0
0.9919,12.4849,2.9757,25.5703,38.0552,0.6667,-3.1,-2.05,6.1256,4.6743,2.59945,2.9278,2.9278,14.9301,0.0536,0.109,0
5.7806,14.3859,14.3859,24.0853,38.4712,0.5,-2.55,-1.97,6.56106,5.7806,7.63979,6.7786,6.7786,14.202,0.165,0.00477,0
5.811,15.4367,15.4367,23.7027,39.1394,0.6667,-2.59,-1.97,6.72052,5.81108,7.57669,6.6383,6.6383,15.1272,0.34,0.326574,0
5.8467,15.5891,15.5891,23.7986,39.3877,0.6667,-2.54,-1.97,6.67152,5.84675,7.6926,6.7326,6.7326,14.6724,0.9,0.00338,0
2.9931,7.32681,6.985,20.8575,28.18431,0.5,-4.44,-3.83,8.01602,3.12195,10.0962,5.8873,4.8888,12.80197,0.0317,0.00267,2
5.3796,14.3113,14.3113,25.0894,39.4007,0.6667,-2.72,-1.97,6.3232,5.37953,6.67479,6.5783,6.5783,14.7067,0.106,0.106,0
2.9304,12.0936,7.8039,28.7593,40.8529,0.8333,-3.31,-2.79,4.93593,4.36031,4.80095,2.5213,2.5213,15.7231,0.647,0.0301,1
2.9293,9.43611,8.7879,21.1819,30.61801,0.8333,-4.46,-3.83,7.89181,3.173145,9.82265,5.8456,4.8489,15.4443,1.09,0.25723,1
